Lead,P Start,P Peak,P End,QRS Start,QRS Peak,QRS End,QRS Fragmented,T Start,T Peak,T End
I,"[354, 571, 802, 1038]","[376, 604, 839, 1068]","[385, 614, 849, 1078]","[178, 408, 636, 864, 1093]","[192, 415, 644, 878, 1107]","[209, 427, 655, 894, 1132]",[],"[228, 465, 694, 911, 1150]","[264, 487, 715, 950, 1181]","[285, 518, 738, 973, 1209]"
II,"[355, 569, 818, 1047]","[374, 603, 837, 1067]","[403, 619, 859, 1088]","[182, 409, 634, 863, 1093]","[193, 416, 644, 878, 1108]","[203, 426, 654, 889, 1119]",[],"[218, 453, 673, 903, 1160]","[262, 485, 713, 948, 1179]","[299, 518, 748, 967, 1209]"
III,"[356, 567, 810, 1048]","[396, 600, 835, 1065, 1227]","[391, 610, 854, 1096]","[182, 404, 619, 868, 1098]","[51, 190, 413, 641, 876, 1106]","[204, 436, 659, 891, 1120]","[[413, 423], [641, 651], [876, 886]]","[234, 461, 679, 911, 1144]","[150, 258, 481, 709, 919, 1176]","[296, 518, 745, 965, 1209]"
aVR,"[355, 570, 818, 1026]","[375, 603, 837, 1067]","[391, 619, 853, 1090]","[186, 409, 637, 872, 1101]","[193, 415, 644, 878, 1108]","[204, 426, 655, 889, 1119]",[],"[231, 440, 682, 914, 1134]","[263, 486, 714, 949, 1179]","[300, 518, 750, 970, 1209]"
aVL,"[332, 577, 807, 1033]","[148, 379, 625, 815, 1061]","[391, 619, 840, 1069]","[181, 405, 629, 866, 1085]","[45, 191, 414, 642, 877, 1107]","[209, 436, 659, 893, 1133]","[[174, 191], [401, 414], [865, 877], [1101, 1107]]","[228, 452, 677, 911, 1156]","[90, 268, 491, 719, 952, 1182]","[286, 518, 737, 972, 1209]"
aVF,"[343, 569, 807, 1048]","[373, 601, 836, 1066]","[402, 631, 853, 1082]","[182, 404, 632, 867, 1097]","[190, 412, 640, 875, 1105]","[204, 426, 655, 890, 1119]",[],"[233, 462, 665, 915, 1146]","[261, 484, 712, 947, 1177]","[297, 517, 753, 965, 1209]"
V1,"[345, 584, 807, 1037]","[375, 603, 838, 1068]","[385, 618, 853, 1078]","[178, 401, 630, 865, 1094]","[46, 188, 411, 639, 874, 1104]","[205, 427, 655, 901, 1120]","[[188, 198], [411, 420], [639, 648], [874, 884], [1104, 1113]]","[228, 451, 677, 900, 1130]","[151, 247, 470, 698, 933, 1181]","[291, 512, 745, 976, 1209]"
V2,"[363, 572, 814, 1043]","[376, 605, 841, 1069, 1241]","[388, 617, 851, 1081]","[179, 402, 630, 866, 1094]","[52, 188, 411, 639, 880, 1104]","[202, 429, 657, 888, 1117]",[],"[228, 453, 680, 915, 1146]","[150, 250, 472, 701, 936, 1167]","[298, 526, 745, 981, 1209]"
V3,"[338, 572, 807, 1035]","[373, 603, 837, 1066]","[394, 622, 848, 1077]","[179, 402, 630, 865, 1095]","[193, 415, 643, 878, 1108]","[201, 423, 651, 886, 1116]",[],"[231, 454, 682, 916, 1147]","[255, 477, 705, 940, 1170]","[291, 518, 745, 986, 1209]"
V4,"[333, 567, 795, 1026]","[375, 605, 840, 1068]","[385, 615, 849, 1095]","[180, 404, 629, 864, 1093]","[192, 414, 643, 878, 1107]","[214, 432, 651, 886, 1122]",[],"[218, 441, 676, 910, 1137]","[259, 482, 711, 946, 1176]","[280, 518, 745, 967, 1209]"
V5,"[354, 577, 806, 1041]","[375, 604, 839, 1068]","[386, 626, 849, 1090]","[178, 407, 636, 871, 1100]","[72, 192, 414, 643, 878, 1107]","[213, 433, 657, 892, 1121]",[],"[222, 447, 671, 906, 1137]","[154, 261, 484, 712, 947, 1177]","[280, 518, 745, 966, 1209]"
V6,"[348, 567, 795, 1030]","[376, 605, 840, 1069]","[389, 617, 852, 1082]","[176, 401, 630, 864, 1093]","[76, 192, 415, 643, 878, 1107]","[201, 434, 654, 889, 1116]",[],"[241, 448, 672, 916, 1135]","[155, 262, 485, 713, 948, 1178]","[281, 518, 745, 985, 1209]"
