Lead,P Start,P Peak,P End,QRS Start,QRS Peak,QRS End,QRS Fragmented,T Start,T Peak,T End
I,"[531, 588, 698, 857]","[347, 568, 783, 1005, 1037]","[578, 628, 794, 945, 1016]","[146, 371, 590, 807, 1029]","[27, 155, 379, 599, 815, 1037]","[169, 394, 614, 829, 1051]",[],"[189, 432, 618, 855]","[117, 229, 453, 656, 872]","[271, 485, 695, 911]"
II,"[513, 539, 574, 740, 832]","[342, 561, 775, 984, 1214]","[570, 618, 787, 802, 944]","[146, 371, 590, 807, 1029]","[156, 380, 600, 816, 1038]","[172, 396, 616, 832, 1054]",[],"[189, 422, 619, 855, 1082]","[217, 442, 661, 877, 1101]","[262, 485, 705, 913]"
III,"[539, 547, 698, 857]","[567, 784, 1007, 1226]","[578, 794, 802, 962]","[148, 373, 592, 808, 1031]","[157, 381, 601, 817, 1039]","[174, 399, 617, 833, 1056]",[],"[190, 425, 637, 858, 1081]","[219, 444, 663, 879, 1104]","[240, 473, 705, 914]"
aVR,"[516, 698, 857]","[565, 784, 1003, 1038]","[578, 794, 955, 1016]","[145, 370, 590, 806, 1029]","[155, 380, 599, 816, 1038]","[171, 395, 615, 832, 1054]","[[148, 155], [373, 380]]","[189, 422, 618, 855]","[216, 441, 660, 876]","[255, 478, 710, 912]"
aVL,"[528, 561, 698, 857]","[346, 566, 784, 1036]","[577, 610, 795, 962]","[145, 370, 589, 805, 1028]","[153, 378, 597, 813, 1036]","[169, 393, 613, 829, 1051]",[],"[181, 413, 621, 855]","[221, 446, 665, 882]","[245, 476, 705, 932]"
aVF,"[527, 539, 556, 698, 832]","[330, 569, 768, 992, 1214]","[577, 606, 797, 873, 1012]","[146, 371, 590, 807, 1029]","[156, 381, 600, 816, 1039]","[172, 397, 616, 832, 1055]",[],"[189, 427, 620, 855, 1082]","[218, 443, 662, 878, 1101]","[262, 492, 705, 913]"
V1,"[539, 550, 744, 968]","[335, 570, 772, 994, 1212]","[578, 800, 908, 1020]","[141, 366, 585, 801, 1023]","[156, 380, 600, 816, 1038]","[173, 398, 617, 833, 1056]","[[149, 156], [374, 380], [593, 600], [809, 816], [1031, 1038]]","[196, 412, 632, 848, 1082]","[221, 446, 666, 881, 1105]","[252, 500, 706, 928]"
V2,"[517, 539]",[558],"[566, 587]","[144, 369, 588, 804, 1027]","[158, 382, 602, 818, 1040]","[167, 391, 611, 827, 1049]",[],"[189, 423, 621, 858, 1081]","[218, 443, 662, 878, 1102]","[254, 485, 721, 915]"
V3,[730],"[774, 1213]","[792, 930]","[144, 369, 588, 805, 1027]","[159, 384, 603, 819, 1041]","[168, 393, 613, 828, 1051]",[],"[189, 424, 619, 855, 1083]","[217, 442, 661, 877, 1101]","[254, 491, 725, 915]"
V4,"[521, 698, 746, 963]","[362, 557, 773, 995, 1214]","[570, 599, 789, 930, 1011]","[145, 370, 589, 806, 1028]","[155, 379, 599, 815, 1037]","[170, 395, 615, 831, 1053]",[],"[189, 422, 615, 855, 1082]","[212, 438, 656, 872, 1114]","[253, 488, 702, 920]"
V5,"[517, 736, 800, 959]","[326, 547, 762, 997, 1214]","[558, 596, 774, 944, 1019]","[146, 371, 590, 806, 1029]","[155, 380, 599, 815, 1038]","[171, 396, 615, 831, 1054]",[],"[189, 416, 615, 855, 1082]","[210, 454, 654, 890, 1112]","[255, 480, 704, 906]"
V6,"[517, 698, 832]","[327, 547, 763, 999, 1198]","[569, 776, 954, 1019]","[147, 372, 591, 807, 1030]","[30, 156, 380, 600, 816, 1038]","[170, 395, 615, 831, 1053]",[],"[189, 422, 621, 855, 1082]","[102, 229, 454, 673, 890, 1113]","[245, 490, 699, 905]"
